agen,Agen,47000,30199
"aix en provence",Aix-en-Provence,13080-13090-13100-13290-13540,134324
"aix les bains",Aix-les-Bains,73100,25721
ajaccio,Ajaccio,20000-20090,52851
albi,Albi,81990,46299
alencon,Alençon,61000,28917
ales,Alès,30100,39282
alfortville,Alfortville,94140,36319
amiens,Amiens,80000-80080-80090,135449
angers,Angers,49000-49100,151322
anglet,Anglet,64600,35261
angouleme,Angoulême,16000,43137
annecy,Annecy,74000,50324
annemasse,Annemasse,74100,27238
antibes,Antibes,06600-06160,72454
antony,Antony,92160,59849
argenteuil,Argenteuil,95100,93932
arles,Arles,13104-13123-13129-13200-13280,50467
armentieres,Armentières,59280,25249
arras,Arras,62000,40535
"asnieres sur seine",Asnières-sur-Seine,92600,75832
"athis mons",Athis-Mons,91200,29400
aubagne,Aubagne,13400,42681
aubervilliers,Aubervilliers,93300,63130
"aulnay sous bois",Aulnay-sous-Bois,93600,80030
aurillac,Aurillac,15000,30554
auxerre,Auxerre,89000-89290,37820
avignon,Avignon,84000,85937
bagneux,Bagneux,92220,37215
bagnolet,Bagnolet,93170,32424
bastia,Bastia,20200-20600,37880
bayonne,Bayonne,64100,40113
beauvais,Beauvais,60155,55371
belfort,Belfort,90000,50406
bergerac,Bergerac,24100,26071
besancon,Besançon,25000,117691
bethune,Béthune,62400,27781
beziers,Béziers,34500,69359
bezons,Bezons,95870,26312
biarritz,Biarritz,64200,30046
blois,Blois,41000,49062
bobigny,Bobigny,93000,44118
bondy,Bondy,93140,46829
bordeaux,Bordeaux,33000-33100-33200-33300-33800,215374
"boulogne billancourt",Boulogne-Billancourt,92100,106316
"boulogne sur mer",Boulogne-sur-Mer,62200,44865
"bourg en bresse",Bourg-en-Bresse,01000,40628
bourges,Bourges,18000,72434
brest,Brest,29200,149649
"brive la gaillarde",Brive-la-Gaillarde,19100,49127
bron,Bron,69500,37359
caen,Caen,14000,114007
"cagnes sur mer",Cagnes-sur-Mer,06800,43929
calais,Calais,62100,77317
"caluire et cuire",Caluire-et-Cuire,69300,41248
cambrai,Cambrai,59400,33716
cannes,Cannes,06400-06150,67406
carcassonne,Carcassonne,11000,43937
carpentras,Carpentras,84200,26084
castres,Castres,81100,43451
cayenne,Cayenne,97300,50395
cergy,Cergy,95000-95800,54816
"chalon sur saone",Chalon-sur-Saône,71100,50110
"chalons en champagne",Châlons-en-Champagne,51000,47338
chambery,Chambéry,73000,55762
"champigny sur marne",Champigny-sur-Marne,94500,74232
"charenton le pont",Charenton-le-Pont,94220,26576
"charleville mezieres",Charleville-Mézières,08090,55481
chartres,Chartres,28000,40402
chateauroux,Châteauroux,36000,49598
chatellerault,Châtellerault,86100,34192
"chatenay malabry",Châtenay-Malabry,92290,30556
chatillon,Châtillon,92320,28592
chatou,Chatou,78400,28582
chaumont,Chaumont,52000,25977
chelles,Chelles,77500,45371
"cherbourg octeville",Cherbourg-Octeville,50100-50130,25337
"choisy le roi",Choisy-le-Roi,94600,34324
cholet,Cholet,49280,54215
clamart,Clamart,92140,48619
"clermont ferrand",Clermont-Ferrand,63000-63100,137154
clichy,Clichy,92110,50237
"clichy sous bois",Clichy-sous-Bois,93390,28274
colmar,Colmar,68000,65118
colombes,Colombes,92700,76690
colomiers,Colomiers,31770,28538
compiegne,Compiègne,60200,41228
"conflans sainte honorine",Conflans-Sainte-Honorine,78700,33257
"corbeil essonnes",Corbeil-Essonnes,91100,39384
courbevoie,Courbevoie,92400,69665
creil,Creil,60100,30671
creteil,Créteil,94000,81786
dieppe,Dieppe,76200,34644
dijon,Dijon,21000-21100,150138
douai,Douai,59500,42812
draguignan,Draguignan,83300,32815
drancy,Drancy,93700,62271
draveil,Draveil,91210,28097
dreux,Dreux,28100,31822
dunkerque,Dunkerque,59140-59240-59430-59640-59279,70834
echirolles,Échirolles,38130,32811
elancourt,Élancourt,78990,26630
epernay,Épernay,51200,25829
epinal,Épinal,88000,35782
"epinay sur seine",Épinay-sur-Seine,93800,46558
ermont,Ermont,95120,27474
evreux,Évreux,27000,51159
evry,Évry,91090,49397
"fontenay sous bois",Fontenay-sous-Bois,94120,50865
"fort de france",Fort-de-France,97234,94152
franconville,Franconville,95130,33492
frejus,Fréjus,83600-83370,46770
fresnes,Fresnes,94260,25226
gagny,Gagny,93220,36775
gap,Gap,05000,36269
"garges les gonesse",Garges-lès-Gonesse,95140,40060
gennevilliers,Gennevilliers,92230,42344
goussainville,Goussainville,95190,27350
grasse,Grasse,06130-06520,43848
grenoble,Grenoble,38000-38100,153426
guyancourt,Guyancourt,78280,25051
haguenau,Haguenau,67500,32206
"henin beaumont",Hénin-Beaumont,62110,25204
houilles,Houilles,78800,29653
hyeres,Hyères,83400,51412
"issy les moulineaux",Issy-les-Moulineaux,92130,52642
istres,Istres,13118-13800,38983
"ivry sur seine",Ivry-sur-Seine,94200,50951
"joue les tours",Joué-lès-Tours,37300,36511
koungou,Koungou,97600,26488
"l hay les roses",L'Haÿ-les-Roses,94240,29703
"la ciotat","La Ciotat",13600,31583
"la courneuve","La Courneuve",93120,35301
"la garde","La Garde",83130,25299
"la roche sur yon","La Roche-sur-Yon",85000,49292
"la rochelle","La Rochelle",17000,76711
"la seyne sur mer","La Seyne-sur-Mer",83500,60070
lambersart,Lambersart,59130,28133
laon,Laon,02000,26241
laval,Laval,53000,50956
"le blanc mesnil","Le Blanc-Mesnil",93150,46838
"le cannet","Le Cannet",06110,41940
"le chesnay","Le Chesnay",78150,28505
"le creusot","Le Creusot",71200,26280
"le gosier",Gosier,97190,25340
"le grand quevilly","Le Grand-Quevilly",76120,26688
"le havre","Le Havre",76600-76610-76620,190924
"le lamentin",Lamentin,97232,35488
"le mans","Le Mans",72000-72100,146064
"le perreux sur marne","Le Perreux-sur-Marne",94170,30076
"le port",Port,97420,38367
"le tampon",Tampon,97430,60311
lens,Lens,62300,36192
"les abymes",Abymes,97142,63001
"les mureaux",Mureaux,78130,31722
"les ulis",Ulis,91940,25781
"levallois perret",Levallois-Perret,92300,54750
lievin,Liévin,62800,33463
lille,Lille,59000-59160-59260-59777-59800,184647
limoges,Limoges,87000-87100-87280,133924
"livry gargan",Livry-Gargan,93190,37283
lorient,Lorient,56100,59224
lyon,Lyon,69001-69002-69003-69004-69005-69006-69007-69008-69009,445274
macon,Mâcon,71870,34472
"maisons alfort",Maisons-Alfort,94700,51091
malakoff,Malakoff,92240,29419
mamoudzou,Mamoudzou,97600,57281
"mantes la jolie",Mantes-la-Jolie,78200,43679
"marcq en baroeul",Marcq-en-Barœul,59700,37181
marignane,Marignane,13700,34016
marseille,Marseille,13001-13002-13003-13004-13005-13006-13007-13008-13009-13010-13011-13012-13013-13014-13015-13016,797491
martigues,Martigues,13117-13500,43579
massy,Massy,91300,37704
maubeuge,Maubeuge,59600,33561
meaux,Meaux,77100,49348
melun,Melun,77000,35660
menton,Menton,06500,28792
merignac,Mérignac,33700,61990
metz,Metz,57000-57050-57070,123704
meudon,Meudon,92190-92360,43694
meyzieu,Meyzieu,69330,28019
"mont de marsan",Mont-de-Marsan,40000,29529
montauban,Montauban,82000,51889
montbeliard,Montbéliard,25200,27566
montelimar,Montélimar,26200,31349
"montigny le bretonneux",Montigny-le-Bretonneux,78180,35244
montlucon,Montluçon,03100,41350
montpellier,Montpellier,34000-34070-34080-34090,225511
montreuil,Montreuil,93100,90735
montrouge,Montrouge,92120,37716
mulhouse,Mulhouse,68100-68200,110141
nancy,Nancy,54100,103552
nanterre,Nanterre,92000,84270
nantes,Nantes,44000-44100-44200-44300,270343
narbonne,Narbonne,11100,46506
"neuilly sur marne",Neuilly-sur-Marne,93330,32755
"neuilly sur seine",Neuilly-sur-Seine,92200,59874
nevers,Nevers,58000,40934
nice,Nice,06000-06100-06200-06300,343123
nimes,Nîmes,30000-30900,133406
niort,Niort,79000,56661
"nogent sur marne",Nogent-sur-Marne,94130,28194
"noisy le grand",Noisy-le-Grand,93160,58193
"noisy le sec",Noisy-le-Sec,93130,37323
orange,Orange,84100,27999
orleans,Orléans,45000-45100,113089
oullins,Oullins,69600,25186
palaiseau,Palaiseau,91120,28959
pantin,Pantin,93500,49919
paris,Paris,75001-75002-75003-75004-75005-75006-75007-75008-75009-75010-75011-75012-75013-75014-75015-75016-75017-75018-75019-75020-75116,2125851
pau,Pau,64000,78800
perigueux,Périgueux,24000,30152
perpignan,Perpignan,66000-66100,105096
pessac,Pessac,33600,56151
"pierrefitte sur seine",Pierrefitte-sur-Seine,93380,25789
plaisir,Plaisir,78370,31021
poissy,Poissy,78300,35815
poitiers,Poitiers,86000,83507
"pontault combault",Pontault-Combault,77340,32956
pontoise,Pontoise,95300,27483
puteaux,Puteaux,92800,40871
quimper,Quimper,29000,63274
"ravine des cabris",Saint-Pierre,97432,69009
reims,Reims,51100,187181
rennes,Rennes,35000-35200-35700,206194
reze,Rezé,44400,35518
"rillieux la pape",Rillieux-la-Pape,69140,28327
roanne,Roanne,42300,38880
rochefort,Rochefort,17300,25775
"romans sur isere",Romans-sur-Isère,26100,32697
"rosny sous bois",Rosny-sous-Bois,93110,39097
roubaix,Roubaix,59100,96959
rouen,Rouen,76000-76100,106560
"rueil malmaison",Rueil-Malmaison,92500,73599
"saint brieuc",Saint-Brieuc,22000,46089
"saint chamond",Saint-Chamond,42400,37361
"saint cloud",Saint-Cloud,92210,28164
"saint denis",Saint-Denis,93200-93210,85994
"saint dizier",Saint-Dizier,52100,30836
"saint etienne",Saint-Étienne,42000-42100-42230,180438
"saint etienne du rouvray",Saint-Étienne-du-Rouvray,76800,29090
"saint germain en laye",Saint-Germain-en-Laye,78100,38124
"saint herblain",Saint-Herblain,44800,43728
"saint laurent du var",Saint-Laurent-du-Var,06700,27166
"saint malo",Saint-Malo,35400,50697
"saint martin d heres",Saint-Martin-d'Hères,38400,35769
"saint maur des fosses",Saint-Maur-des-Fossés,94100-94210,73071
"saint medard en jalles",Saint-Médard-en-Jalles,33160,25590
"saint nazaire",Saint-Nazaire,44600,65868
"saint ouen",Saint-Ouen,93400,39719
"saint priest",Saint-Priest,69800,40944
"saint quentin",Saint-Quentin,02100,59049
"saint raphael",Saint-Raphaël,83700-83530,30233
"saint sebastien sur loire",Saint-Sébastien-sur-Loire,44230,25223
"sainte genevieve des bois",Sainte-Geneviève-des-Bois,91700,32128
saintes,Saintes,17100,25628
"salon de provence",Salon-de-Provence,13300,37098
sannois,Sannois,95110,25313
sarcelles,Sarcelles,95200,57851
sartrouville,Sartrouville,78500,50222
saumur,Saumur,49400,29916
"savigny sur orge",Savigny-sur-Orge,91600,36219
schiltigheim,Schiltigheim,67300,30824
sens,Sens,89100,26906
sete,Sète,34200,39579
sevran,Sevran,93270,47029
"six fours les plages",Six-Fours-les-Plages,83140,32715
soissons,Soissons,02200,29439
"sotteville les rouen",Sotteville-lès-Rouen,76300,29549
"st andre",Saint-André,97440,43150
"st benoit",Saint-Benoît,97470,31531
"st joseph",Saint-Joseph,97480,30276
"st leu",Saint-Leu,97436,25310
"st louis",Saint-Louis,97450,43491
"st martin",Saint-Martin,97150,36979
"st paul",Saint-Paul,97460,87629
stains,Stains,93240,32826
"ste clotilde",Saint-Denis,97490,131649
"ste marie",Sainte-Marie,97438,26576
strasbourg,Strasbourg,67000-67100-67200,263941
suresnes,Suresnes,92150,39697
talence,Talence,33400,37228
tarbes,Tarbes,65000,46433
taverny,Taverny,95150,25906
thiais,Thiais,94320,28242
thionville,Thionville,57100,40863
"thonon les bains",Thonon-les-Bains,74200,28980
toulon,Toulon,83000-83100-83200,160712
toulouse,Toulouse,31000-31100-31200-31300-31400-31500,390301
tourcoing,Tourcoing,59200,93531
tours,Tours,37000-37100-37200,132677
trappes,Trappes,78190,28797
"tremblay en france",Tremblay-en-France,93290,33852
troyes,Troyes,10000,60903
valence,Valence,26000,64222
valenciennes,Valenciennes,59300,41251
vallauris,Vallauris,06220,25765
"vandoeuvre les nancy",Vandœuvre-lès-Nancy,54500,32031
vannes,Vannes,56000,51759
vanves,Vanves,92170,25416
"vaulx en velin",Vaulx-en-Velin,69120,39128
venissieux,Vénissieux,69200,56014
versailles,Versailles,78000,85761
vichy,Vichy,03200,26501
vienne,Vienne,38200,29930
vierzon,Vierzon,18100,29723
"vigneux sur seine",Vigneux-sur-Seine,91270,25663
"villefranche sur saone",Villefranche-sur-Saône,69400,30630
villejuif,Villejuif,94800,47414
villemomble,Villemomble,93250,26967
"villenave d ornon",Villenave-d'Ornon,33140,27489
"villeneuve d ascq",Villeneuve-d'Ascq,59491-59493-59650,64997
"villeneuve saint georges",Villeneuve-Saint-Georges,94190,28427
villepinte,Villepinte,93420,33795
villeurbanne,Villeurbanne,69100,124152
"villiers le bel",Villiers-le-Bel,95400,26143
"villiers sur marne",Villiers-sur-Marne,94350,26626
vincennes,Vincennes,94300,43580
"viry chatillon",Viry-Châtillon,91170,30241
vitrolles,Vitrolles,13127,36739
"vitry sur seine",Vitry-sur-Seine,94400,78908
wattrelos,Wattrelos,59150,42719
yerres,Yerres,91330,27439
rseille,Marseille,13001-13002-13003-13004-13005-13006-13007-13008-13009-13010-13011-13012-13013-13014-13015-13016,797491
martigues,Martigues,13117-13500,43579
massy,Massy,91300,37704
matoury,Matoury,97351,18037
maubeuge,Maubeuge,59600,33561
maurepas,Maurepas,78310,19567
meaux,Meaux,77100,49348
melun,Melun,77000,35660
menton,Menton,06500,28792
merignac,Mérignac,33700,61990
metz,Metz,57000-57050-57070,123704
meudon,Meudon,92190-92360,43694
meylan,Meylan,38240,18730
meyzieu,Meyzieu,69330,28019
millau,Millau,12100,21371
miramas,Miramas,13140,22520
"mitry mory",Mitry-Mory,77290,16863
"mons en baroeul",Mons-en-Barœul,59370,23004
"mont de marsan",Mont-de-Marsan,40000,29529
"mont saint aignan",Mont-Saint-Aignan,76130,21265
montargis,Montargis,45200,15025
montauban,Montauban,82000,51889
montbeliard,Montbéliard,25200,27566
"montceau les mines",Montceau-les-Mines,71300,20624
montelimar,Montélimar,26200,31349
"montereau fault yonne",Montereau-Fault-Yonne,77130,17615
montfermeil,Montfermeil,93370,24102
montgeron,Montgeron,91230,21884
"montigny le bretonneux",Montigny-le-Bretonneux,78180,35244
"montigny les cormeilles",Montigny-lès-Cormeilles,95370,17178
"montigny les metz",Montigny-lès-Metz,57158,23426
montivilliers,Montivilliers,76290,16553
montlucon,Montluçon,03100,41350
montmorency,Montmorency,95160,20576
montpellier,Montpellier,34000-34070-34080-34090,225511
montreuil,Montreuil,93100,90735
montrouge,Montrouge,92120,37716
morlaix,Morlaix,29600,16004
"morne a l eau",Morne-à-l'Eau,97111,17136
"morsang sur orge",Morsang-sur-Orge,91390,19326
mougins,Mougins,06250,16040
moulins,Moulins,03000,21885
mulhouse,Mulhouse,68100-68200,110141
muret,Muret,31600,20742
nancy,Nancy,54100,103552
nanterre,Nanterre,92000,84270
nantes,Nantes,44000-44100-44200-44300,270343
narbonne,Narbonne,11100,46506
"neuilly plaisance",Neuilly-Plaisance,93360,18244
"neuilly sur marne",Neuilly-sur-Marne,93330,32755
"neuilly sur seine",Neuilly-sur-Seine,92200,59874
nevers,Nevers,58000,40934
nice,Nice,06000-06100-06200-06300,343123
nimes,Nîmes,30000-30900,133406
niort,Niort,79000,56661
"nogent sur marne",Nogent-sur-Marne,94130,28194
"nogent sur oise",Nogent-sur-Oise,60180,19150
noisiel,Noisiel,77186,15506
"noisy le grand",Noisy-le-Grand,93160,58193
"noisy le sec",Noisy-le-Sec,93130,37323
olivet,Olivet,45160,19209
orange,Orange,84100,27999
orleans,Orléans,45000-45100,113089
orly,Orly,94310,20497
orsay,Orsay,91400,16219
orvault,Orvault,44700,23550
oullins,Oullins,69600,25186
outreau,Outreau,62230,15217
oyonnax,Oyonnax,01100,24188
"ozoir la ferriere",Ozoir-la-Ferrière,77330,20707
palaiseau,Palaiseau,91120,28959
pantin,Pantin,93500,49919
paris,Paris,75001-75002-75003-75004-75005-75006-75007-75008-75009-75010-75011-75012-75013-75014-75015-75016-75017-75018-75019-75020-75116,2125851
pau,Pau,64000,78800
perigueux,Périgueux,24000,30152
perpignan,Perpignan,66000-66100,105096
pertuis,Pertuis,84120,17823
pessac,Pessac,33600,56151
"petit bourg",Petit-Bourg,97170,20510
"pierrefitte sur seine",Pierrefitte-sur-Seine,93380,25789
plaisir,Plaisir,78370,31021
ploemeur,Ploemeur,56270,18301
"pointe a pitre",Pointe-à-Pitre,97110,20931
poissy,Poissy,78300,35815
poitiers,Poitiers,86000,83507
pontarlier,Pontarlier,25300,18357
"pontault combault",Pontault-Combault,77340,32956
pontoise,Pontoise,95300,27483
"port de bouc",Port-de-Bouc,13110,17106
puteaux,Puteaux,92800,40871
quimper,Quimper,29000,63274
rambouillet,Rambouillet,78120,24789
"ravine des cabris",Saint-Pierre,97432,69009
reims,Reims,51100,187181
"remire montjoly",Remire-Montjoly,97354,15538
rennes,Rennes,35000-35200-35700,206194
reze,Rezé,44400,35518
"rillieux la pape",Rillieux-la-Pape,69140,28327
riom,Riom,63200,18575
"ris orangis",Ris-Orangis,91000,24437
roanne,Roanne,42300,38880
rochefort,Rochefort,17300,25775
rodez,Rodez,12000,23734
"roissy en brie",Roissy-en-Brie,77680,19667
romainville,Romainville,93230,23774
"romans sur isere",Romans-sur-Isère,26100,32697
"romorantin lanthenay",Romorantin-Lanthenay,41200,18353
ronchin,Ronchin,59790,18135
"rosny sous bois",Rosny-sous-Bois,93110,39097
roubaix,Roubaix,59100,96959
rouen,Rouen,76000-76100,106560
royan,Royan,17200,17210
"rueil malmaison",Rueil-Malmaison,92500,73599
"saint amand les eaux",Saint-Amand-les-Eaux,59230,17172
"saint avold",Saint-Avold,57500,16925
"saint brieuc",Saint-Brieuc,22000,46089
"saint chamond",Saint-Chamond,42400,37361
"saint cloud",Saint-Cloud,92210,28164
"saint cyr sur loire",Saint-Cyr-sur-Loire,37540,16096
"saint denis",Saint-Denis,93200-93210,85994
